변환,원자료
Jan-13,94.4
Feb-13,96.2
Mar-13,98.3
Apr-13,97.9
May-13,97.2
Jun-13,96.3
Jul-13,95.6
Aug-13,95.3
Sep-13,96.1
Oct-13,97.6
Nov-13,97.8
Dec-13,97.7
Jan-14,100.2
Feb-14,102.4
Mar-14,100.8
Apr-14,102.1
May-14,100.6
Jun-14,97.2
Jul-14,95.3
Aug-14,97.5
Sep-14,100.2
Oct-14,95.5
Nov-14,97.1
Dec-14,96.2
Jan-15,97.8
Feb-15,102.4
Mar-15,100.7
Apr-15,103
May-15,101.5
Jun-15,91.3
Jul-15,95.1
Aug-15,96.5
Sep-15,96.1
Oct-15,96.8
Nov-15,96.5
Dec-15,93.4
Jan-16,93.4
Feb-16,92.1
Mar-16,93.8
Apr-16,96.6
May-16,94.8
Jun-16,94.4
Jul-16,95.7
Aug-16,97.7
Sep-16,97.2
Oct-16,95.9
Nov-16,95.4
Dec-16,93.9
Jan-17,95.8
Feb-17,97.7
Mar-17,100
Apr-17,99.6
May-17,100.6
Jun-17,99.8
Jul-17,99.1
Aug-17,100.1
Sep-17,98.9
Oct-17,102
Nov-17,102
Dec-17,101.7
Jan-18,99.4
Feb-18,101
Mar-18,97.8
Apr-18,99.6
May-18,101.8
Jun-18,100.2
Jul-18,95.4
Aug-18,96.5
Sep-18,99
Oct-18,95
Nov-18,94
Dec-18,94.3
Jan-19,91.9
Feb-19,97.1
Mar-19,96.3
Apr-19,97.3
May-19,93.9
Jun-19,94.6
Jul-19,91.7
Aug-19,91
Sep-19,93.7
Oct-19,93
Nov-19,93.9
Dec-19,94.7
Jan-20,97.2
Feb-20,89.6
Mar-20,68.6
Apr-20,61.4
May-20,63.4
Jun-20,68.1
Jul-20,76.8
Aug-20,82.9
Sep-20,77.1
Oct-20,88.4
Nov-20,91.4
Dec-20,85.3
Jan-21,92.6
Feb-21,96.2
Mar-21,101.2
Apr-21,105.3
May-21,105.4
Jun-21,109.4
Jul-21,103.8
Aug-21,105.3
Sep-21,104.5
Oct-21,105.6
Nov-21,106.3
Dec-21,104.5
Jan-22,105.7
Feb-22,105.8
Mar-22,103.5
Apr-22,105.8
May-22,106.8
Jun-22,102.6
Jul-22,97.8
Aug-22,99.3
Sep-22,98
Oct-22,95.4
Nov-22,91.2
Dec-22,91.5
Jan-23,90.1
Feb-23,91.6
Mar-23,91.5
Apr-23,93.8
May-23,94.2
Jun-23,95.7
Jul-23,94.1
Aug-23,94
Sep-23,92.7
,
