º¯È¯,½Ç¾÷·ü,°í¿ë·ü
13-Jan,3.4,57.7
13-Feb,3.9,57.5
13-Mar,3.5,58.7
13-Apr,3.2,60
13-May,3,60.6
13-Jun,3.1,60.8
13-Jul,3.1,60.7
13-Aug,3,60.2
13-Sep,2.7,60.6
13-Oct,2.7,60.8
13-Nov,2.6,60.7
13-Dec,3,59.4
14-Jan,3.4,58.8
14-Feb,4.5,58.9
14-Mar,3.9,59.7
14-Apr,3.8,60.9
14-May,3.5,61.1
14-Jun,3.5,61.2
14-Jul,3.4,61.4
14-Aug,3.3,61.1
14-Sep,3.1,61.1
14-Oct,3.2,61.1
14-Nov,3,61.1
14-Dec,3.3,59.7
15-Jan,3.7,59
15-Feb,4.5,59.1
15-Mar,4,59.8
15-Apr,3.9,60.6
15-May,3.7,61.2
15-Jun,3.8,61.2
15-Jul,3.6,61.3
15-Aug,3.4,60.9
15-Sep,3.2,61.1
15-Oct,3.1,61.2
15-Nov,3,61
15-Dec,3.2,60.1
16-Jan,3.7,59
16-Feb,4.9,58.9
16-Mar,4.2,59.7
16-Apr,3.9,60.5
16-May,3.6,61.1
16-Jun,3.6,61.3
16-Jul,3.5,61.3
16-Aug,3.6,61.2
16-Sep,3.5,61.1
16-Oct,3.3,61.2
16-Nov,3.1,61.2
16-Dec,3.2,60.2
17-Jan,3.7,59.1
17-Feb,4.9,59.3
17-Mar,4.1,60.3
17-Apr,4.2,61
17-May,3.6,61.5
17-Jun,3.8,61.5
17-Jul,3.4,61.6
17-Aug,3.6,61.2
17-Sep,3.3,61.4
17-Oct,3.2,61.4
17-Nov,3.1,61.4
17-Dec,3.3,60.4
18-Jan,3.7,59.5
18-Feb,4.6,59.2
18-Mar,4.5,60.2
18-Apr,4.1,60.9
18-May,4,61.3
18-Jun,3.7,61.4
18-Jul,3.7,61.3
18-Aug,4,60.9
18-Sep,3.6,61.2
18-Oct,3.5,61.2
18-Nov,3.2,61.4
18-Dec,3.4,60.1
19-Jan,4.5,59.2
19-Feb,4.7,59.4
19-Mar,4.3,60.4
19-Apr,4.4,60.8
19-May,4,61.5
19-Jun,4,61.6
19-Jul,3.9,61.5
19-Aug,3,61.4
19-Sep,3.1,61.5
19-Oct,3,61.7
19-Nov,3.1,61.7
19-Dec,3.4,60.8
20-Jan,4.1,60
20-Feb,4.1,60
20-Mar,4.2,59.5
20-Apr,4.2,59.4
20-May,4.5,60.2
20-Jun,4.3,60.4
20-Jul,4,60.5
20-Aug,3.1,60.4
20-Sep,3.6,60.3
20-Oct,3.7,60.4
20-Nov,3.4,60.7
20-Dec,4.1,59.1
21-Jan,5.7,57.4
21-Feb,4.9,58.6
21-Mar,4.3,59.8
21-Apr,4,60.4
21-May,4,61.2
21-Jun,3.8,61.3
21-Jul,3.2,61.3
21-Aug,2.6,61.2
21-Sep,2.7,61.3
21-Oct,2.8,61.4
21-Nov,2.6,61.5
21-Dec,3.5,60.4
22-Jan,4.1,59.6
22-Feb,3.4,60.6
22-Mar,3,61.4
22-Apr,3,62.1
22-May,3,63
22-Jun,3,62.9
22-Jul,2.9,62.9
22-Aug,2.1,62.8
22-Sep,2.4,62.7
22-Oct,2.4,62.7
22-Nov,2.3,62.7
22-Dec,3,61.3
23-Jan,3.6,60.3
23-Feb,3.1,61.1
23-Mar,2.9,62.2
23-Apr,2.8,62.7
23-May,2.7,63.5
23-Jun,2.7,63.5
23-Jul,2.7,63.2
23-Aug,2,63.1
23-Sep,2.3,63.2
,,
