변환,원자료
"2013/01","75,180"
"2013/02","73,386"
"2013/03","70,633"
"2013/04","70,201"
"2013/05","66,896"
"2013/06","65,072"
"2013/07","67,672"
"2013/08","68,119"
"2013/09","66,110"
"2013/10","64,433"
"2013/11","63,709"
"2013/12","61,091"
"2014/01","58,576"
"2014/02","52,391"
"2014/03","48,167"
"2014/04","45,573"
"2014/05","49,026"
"2014/06","50,257"
"2014/07","51,287"
"2014/08","44,784"
"2014/09","39,168"
"2014/10","40,092"
"2014/11","39,703"
"2014/12","40,379"
"2015/01","36,985"
"2015/02","33,813"
"2015/03","28,897"
"2015/04","28,093"
"2015/05","28,142"
"2015/06","34,068"
"2015/07","33,177"
"2015/08","31,698"
"2015/09","32,524"
"2015/10","32,221"
"2015/11","49,724"
"2015/12","61,512"
"2016/01","60,606"
"2016/02","55,103"
"2016/03","53,845"
"2016/04","53,816"
"2016/05","55,456"
"2016/06","59,999"
"2016/07","63,127"
"2016/08","62,562"
"2016/09","60,700"
"2016/10","57,709"
"2016/11","57,582"
"2016/12","56,413"
"2017/01","59,313"
"2017/02","61,063"
"2017/03","61,679"
"2017/04","60,313"
"2017/05","56,859"
"2017/06","57,108"
"2017/07","54,282"
"2017/08","53,130"
"2017/09","54,420"
"2017/10","55,707"
"2017/11","56,647"
"2017/12","57,330"
"2018/01","59,104"
"2018/02","60,903"
"2018/03","58,004"
"2018/04","59,583"
"2018/05","59,836"
"2018/06","62,050"
"2018/07","63,132"
"2018/08","62,370"
"2018/09","60,596"
"2018/10","60,502"
"2018/11","60,122"
"2018/12","58,838"
"2019/01","59,162"
"2019/02","59,614"
"2019/03","62,147"
"2019/04","62,041"
"2019/05","62,741"
"2019/06","63,705"
"2019/07","62,529"
"2019/08","62,385"
"2019/09","60,062"
"2019/10","56,098"
"2019/11","53,561"
"2019/12","47,797"
"2020/01","43,268"
"2020/02","39,456"
"2020/03","38,304"
"2020/04","36,629"
"2020/05","33,894"
"2020/06","29,262"
"2020/07","28,883"
"2020/08","28,831"
"2020/09","28,309"
"2020/10","26,703"
"2020/11","23,620"
"2020/12","19,005"
"2021/01","17,130"
"2021/02","15,786"
"2021/03","15,270"
"2021/04","15,798"
"2021/05","15,660"
"2021/06","16,289"
"2021/07","15,198"
"2021/08","14,864"
"2021/09","13,842"
"2021/10","14,075"
"2021/11","14,094"
"2021/12","17,710"
"2022/01","21,727"
"2022/02","25,254"
"2022/03","27,974"
"2022/04","27,180"
"2022/05","27,375"
"2022/06","27,910"
"2022/07","31,284"
"2022/08","32,722"
"2022/09","41,604"
"2022/10","47,217"
"2022/11","58,027"
"2022/12","68,107"
"2023/01","75,359"
"2023/02","75,438"
"2023/03","72,104"
"2023/04","71,365"
"2023/05","68,865"
"2023/06","66,388"
"2023/07","63,087"
"2023/08","61,811"
"2023/09","59,806"
