date,M2,CD금리,국고채(3년),국고채(10년),국고채(30년),회사채(3년),KOSPI_종가,KOSDAQ_종가,국채 거래량,회사채 거래량
Jan-13,"1,841,128.10",2.86,2.75,3.05,3.31,3.2,"1,961.94",503.67,"121,500,624","573,916"
Feb-13,"1,857,135.00",2.83,2.7,3.04,3.3,3.06,"2,026.49",535.87,"99,040,466","422,222"
Mar-13,"1,862,405.50",2.81,2.6,2.91,3.17,2.95,"2,004.89",555.02,"104,760,077","481,596"
Apr-13,"1,867,726.30",2.8,2.55,2.84,3.15,2.91,"1,963.95",563.87,"110,564,496","335,381"
May-13,"1,870,289.70",2.72,2.59,2.9,3.17,2.96,"2,001.05",577.87,"117,919,540","531,677"
Jun-13,"1,884,193.20",2.69,2.87,3.31,3.55,3.24,"1,863.32",519.06,"104,371,561","583,018"
Jul-13,"1,890,728.60",2.68,2.91,3.47,3.77,3.38,"1,914.03",554.31,"102,837,076","542,626"
Aug-13,"1,888,658.40",2.66,2.94,3.61,3.91,3.33,"1,926.36",516.74,"107,601,520","704,174"
Sep-13,"1,903,187.10",2.66,2.9,3.53,3.84,3.29,"1,996.96",534.89,"91,711,124","552,686"
Oct-13,"1,908,557.60",2.66,2.83,3.44,3.76,3.25,"2,030.09",532.44,"102,088,874","885,785"
Nov-13,"1,923,339.20",2.65,2.936,3.584,3.909,3.366,"2,044.87",517.06,"121,417,911","523,006"
Dec-13,"1,932,026.40",2.65,2.941,3.653,3.945,3.36,"2,011.34",499.99,"102,695,589","684,813"
Jan-14,"1,937,045.60",2.65,2.892,3.647,3.961,3.319,"1,941.15",515.2,"90,188,732","447,012"
Feb-14,"1,954,340.70",2.65,2.854,3.522,3.839,3.28,"1,979.99",528.96,"89,081,811","286,373"
Mar-14,"1,964,954.00",2.65,2.874,3.543,3.846,3.303,"1,985.61",541.58,"90,221,417","360,087"
Apr-14,"1,970,361.60",2.65,2.875,3.54,3.826,3.303,"1,961.79",559.34,"94,595,287","402,678"
May-14,"1,982,390.90",2.65,2.838,3.402,3.668,3.264,"1,994.96",546.53,"103,047,016","411,157"
Jun-14,"1,999,376.30",2.65,2.746,3.286,3.519,3.168,"2,002.21",537.06,"128,499,496","374,819"
Jul-14,"2,013,935.10",2.65,2.558,3.056,3.314,2.97,"2,076.12",536.32,"135,781,928","323,335"
Aug-14,"2,031,777.20",2.52,2.54,3.086,3.351,2.926,"2,068.54",570.2,"116,412,757","253,855"
Sep-14,"2,037,600.80",2.35,2.405,3.012,3.256,2.786,"2,020.09",573.22,"116,103,536","446,316"
