변환,원자료
"2013/01","104.96"
"2013/02","105.68"
"2013/03","105.26"
"2013/04","104.93"
"2013/05","104.57"
"2013/06","104.55"
"2013/07","104.53"
"2013/08","104.82"
"2013/09","104.71"
"2013/10","104.34"
"2013/11","104.13"
"2013/12","104.37"
"2014/01","104.65"
"2014/02","104.78"
"2014/03","104.74"
"2014/04","104.58"
"2014/05","104.56"
"2014/06","104.61"
"2014/07","104.69"
"2014/08","104.58"
"2014/09","104.20"
"2014/10","103.47"
"2014/11","103.15"
"2014/12","102.14"
"2015/01","100.89"
"2015/02","100.96"
"2015/03","100.84"
"2015/04","100.80"
"2015/05","100.87"
"2015/06","100.82"
"2015/07","100.45"
"2015/08","99.83"
"2015/09","99.39"
"2015/10","98.71"
"2015/11","98.32"
"2015/12","98.09"
"2016/01","97.56"
"2016/02","97.56"
"2016/03","97.50"
"2016/04","97.74"
"2016/05","97.86"
"2016/06","98.09"
"2016/07","97.98"
"2016/08","98.07"
"2016/09","98.30"
"2016/10","98.59"
"2016/11","99.03"
"2016/12","99.90"
"2017/01","101.35"
"2017/02","101.74"
"2017/03","101.70"
"2017/04","101.48"
"2017/05","101.21"
"2017/06","100.81"
"2017/07","100.89"
"2017/08","101.35"
"2017/09","102.03"
"2017/10","102.14"
"2017/11","102.04"
"2017/12","102.09"
"2018/01","102.52"
"2018/02","102.95"
"2018/03","102.91"
"2018/04","103.04"
"2018/05","103.34"
"2018/06","103.37"
"2018/07","103.85"
"2018/08","104.32"
"2018/09","104.62"
"2018/10","104.26"
"2018/11","103.53"
"2018/12","103.03"
"2019/01","102.92"
"2019/02","103.02"
"2019/03","103.38"
"2019/04","103.68"
"2019/05","103.79"
"2019/06","103.50"
"2019/07","103.50"
"2019/08","103.74"
"2019/09","103.80"
"2019/10","103.56"
"2019/11","103.41"
"2019/12","103.70"
"2020/01","104.08"
"2020/02","103.74"
"2020/03","102.82"
"2020/04","101.93"
"2020/05","101.96"
"2020/06","102.48"
"2020/07","102.71"
"2020/08","103.22"
"2020/09","103.42"
"2020/10","103.01"
"2020/11","103.09"
"2020/12","103.90"
"2021/01","105.05"
"2021/02","105.91"
"2021/03","107.04"
"2021/04","108.06"
"2021/05","108.65"
"2021/06","109.22"
"2021/07","110.28"
"2021/08","110.86"
"2021/09","111.27"
"2021/10","112.43"
"2021/11","113.23"
"2021/12","113.21"
"2022/01","114.40"
"2022/02","114.95"
"2022/03","116.70"
"2022/04","118.59"
"2022/05","119.43"
"2022/06","120.10"
"2022/07","120.44"
"2022/08","119.98"
"2022/09","120.06"
"2022/10","120.68"
"2022/11","120.29"
"2022/12","119.79"
"2023/01","120.25"
"2023/02","120.46"
"2023/03","120.59"
"2023/04","120.50"
"2023/05","120.03"
"2023/06","119.77"
"2023/07","120.08"
"2023/08","121.17"
"2023/09","121.67"
