변환,원자료
Jan-13,92.728
Feb-13,93.038
Mar-13,92.952
Apr-13,92.823
May-13,92.823
Jun-13,92.71
Jul-13,92.909
Aug-13,93.238
Sep-13,93.419
Oct-13,93.134
Nov-13,93.116
Dec-13,93.229
Jan-14,93.73
Feb-14,93.98
Mar-14,94.153
Apr-14,94.214
May-14,94.369
Jun-14,94.248
Jul-14,94.386
Aug-14,94.551
Sep-14,94.49
Oct-14,94.205
Nov-14,94.015
Dec-14,94.006
Jan-15,94.643
Feb-15,94.587
Mar-15,94.596
Apr-15,94.625
May-15,94.89
Jun-15,94.909
Jul-15,95.08
Aug-15,95.213
Sep-15,94.966
Oct-15,94.966
Nov-15,94.786
Dec-15,95.07
Jan-16,95.232
Feb-16,95.64
Mar-16,95.393
Apr-16,95.573
May-16,95.63
Jun-16,95.611
Jul-16,95.431
Aug-16,95.677
Sep-16,96.247
Oct-16,96.379
Nov-16,96.237
Dec-16,96.342
Jan-17,97.366
Feb-17,97.632
Mar-17,97.565
Apr-17,97.442
May-17,97.546
Jun-17,97.338
Jul-17,97.499
Aug-17,98.058
Sep-17,98.172
Oct-17,98.077
Nov-17,97.347
Dec-17,97.698
Jan-18,98.106
Feb-18,98.855
Mar-18,98.751
Apr-18,98.931
May-18,98.979
Jun-18,98.779
Jul-18,98.59
Aug-18,99.462
Sep-18,100.221
Oct-18,100.041
Nov-18,99.33
Dec-18,98.988
Jan-19,98.884
Feb-19,99.311
Mar-19,99.121
Apr-19,99.481
May-19,99.652
Jun-19,99.491
Jul-19,99.187
Aug-19,99.425
Sep-19,99.794
Oct-19,100.041
Nov-19,99.481
Dec-19,99.719
Jan-20,100.09
Feb-20,100.16
Mar-20,99.94
Apr-20,99.5
May-20,99.44
Jun-20,99.71
Jul-20,99.63
Aug-20,100.19
Sep-20,100.74
Oct-20,100.18
Nov-20,100.09
Dec-20,100.33
Jan-21,101.04
Feb-21,101.58
Mar-21,101.84
Apr-21,101.98
May-21,102.05
Jun-21,102.05
Jul-21,102.26
Aug-21,102.75
Sep-21,103.17
Oct-21,103.35
Nov-21,103.87
Dec-21,104.04
Jan-22,104.69
Feb-22,105.3
Mar-22,106.06
Apr-22,106.85
May-22,107.56
Jun-22,108.22
Jul-22,108.74
Aug-22,108.62
Sep-22,108.93
Oct-22,109.21
Nov-22,109.1
Dec-22,109.28
Jan-23,110.1
Feb-23,110.38
Mar-23,110.56
Apr-23,110.8
May-23,111.13
Jun-23,111.12
Jul-23,111.2
Aug-23,112.33
Sep-23,112.99
,
