변환,업황전망,매출전망,자금사전전망
Jan-13,56,68,62
Feb-13,52,76,77
Mar-13,58,68,72
Apr-13,61,71,74
May-13,58,74,70
Jun-13,56,72,72
Jul-13,63,75,77
Aug-13,56,75,75
Sep-13,60,77,76
Oct-13,54,72,71
Nov-13,58,73,66
Dec-13,61,74,68
Jan-14,60,67,70
Feb-14,63,73,79
Mar-14,63,79,81
Apr-14,64,76,73
May-14,58,67,73
Jun-14,67,76,78
Jul-14,61,74,74
Aug-14,54,70,72
Sep-14,63,73,77
Oct-14,56,79,77
Nov-14,56,66,69
Dec-14,59,67,70
Jan-15,60,69,78
Feb-15,65,77,82
Mar-15,61,77,74
Apr-15,74,72,82
May-15,69,70,77
Jun-15,70,76,79
Jul-15,66,76,84
Aug-15,69,79,82
Sep-15,71,79,86
Oct-15,73,86,85
Nov-15,71,81,83
Dec-15,64,81,80
Jan-16,58,68,70
Feb-16,69,81,82
Mar-16,62,75,77
Apr-16,63,74,81
May-16,67,80,78
Jun-16,72,75,76
Jul-16,64,76,80
Aug-16,65,71,77
Sep-16,75,80,82
Oct-16,71,84,79
Nov-16,70,85,85
Dec-16,62,78,77
Jan-17,63,76,77
Feb-17,67,80,80
Mar-17,68,82,77
Apr-17,75,84,88
May-17,75,87,82
Jun-17,76,85,79
Jul-17,70,91,77
Aug-17,70,82,79
Sep-17,73,81,83
Oct-17,69,77,79
Nov-17,76,89,87
Dec-17,70,83,92
Jan-18,69,84,82
Feb-18,75,86,85
Mar-18,73,84,85
Apr-18,70,83,83
May-18,71,76,81
Jun-18,76,82,87
Jul-18,74,78,88
Aug-18,68,78,80
Sep-18,78,83,82
Oct-18,70,76,82
Nov-18,70,82,80
Dec-18,71,75,76
Jan-19,65,67,73
Feb-19,67,78,79
Mar-19,71,68,78
Apr-19,67,80,82
May-19,70,79,79
Jun-19,66,74,74
Jul-19,66,69,73
Aug-19,63,65,74
Sep-19,66,66,75
Oct-19,65,69,79
Nov-19,65,70,78
Dec-19,63,63,76
Jan-20,70,73,83
Feb-20,69,77,87
Mar-20,70,70,81
Apr-20,64,59,76
May-20,58,63,76
Jun-20,57,61,73
Jul-20,65,63,74
Aug-20,64,62,80
Sep-20,68,68,84
Oct-20,62,63,78
Nov-20,67,63,76
Dec-20,75,70,80
Jan-21,65,69,78
Feb-21,67,71,79
Mar-21,72,72,80
Apr-21,72,74,80
May-21,82,72,83
Jun-21,78,78,88
Jul-21,77,77,89
Aug-21,78,77,82
Sep-21,81,75,82
Oct-21,77,76,82
Nov-21,77,79,85
Dec-21,78,80,83
Jan-22,73,78,85
Feb-22,77,77,85
Mar-22,83,83,85
Apr-22,82,82,83
May-22,80,85,77
Jun-22,76,91,82
Jul-22,74,85,82
Aug-22,71,82,83
Sep-22,74,86,80
Oct-22,74,85,76
Nov-22,70,79,73
Dec-22,63,79,64
Jan-23,59,77,67
Feb-23,55,72,63
Mar-23,56,70,68
Apr-23,60,77,70
May-23,69,78,70
Jun-23,67,79,69
Jul-23,69,80,77
Aug-23,70,78,78
Sep-23,65,76,76
