변환,원자료
"2013/01","4.55"
"2013/02","4.51"
"2013/03","4.46"
"2013/04","4.40"
"2013/05","4.33"
"2013/06","4.26"
"2013/07","4.20"
"2013/08","4.16"
"2013/09","4.13"
"2013/10","4.10"
"2013/11","4.07"
"2013/12","4.04"
"2014/01","4.03"
"2014/02","4.01"
"2014/03","3.99"
"2014/04","3.97"
"2014/05","3.95"
"2014/06","3.92"
"2014/07","3.90"
"2014/08","3.87"
"2014/09","3.82"
"2014/10","3.75"
"2014/11","3.69"
"2014/12","3.63"
"2015/01","3.59"
"2015/02","3.56"
"2015/03","3.48"
"2015/04","3.34"
"2015/05","3.31"
"2015/06","3.30"
"2015/07","3.25"
"2015/08","3.21"
"2015/09","3.16"
"2015/10","3.12"
"2015/11","3.09"
"2015/12","3.08"
"2016/01","3.08"
"2016/02","3.07"
"2016/03","3.07"
"2016/04","3.06"
"2016/05","3.05"
"2016/06","3.02"
"2016/07","2.99"
"2016/08","2.96"
"2016/09","2.94"
"2016/10","2.93"
"2016/11","2.93"
"2016/12","2.93"
"2017/01","2.94"
"2017/02","2.96"
"2017/03","2.97"
"2017/04","2.97"
"2017/05","2.98"
"2017/06","2.98"
"2017/07","2.99"
"2017/08","2.99"
"2017/09","3.00"
"2017/10","3.01"
"2017/11","3.02"
"2017/12","3.05"
"2018/01","3.08"
"2018/02","3.10"
"2018/03","3.13"
"2018/04","3.15"
"2018/05","3.17"
"2018/06","3.18"
"2018/07","3.20"
"2018/08","3.21"
"2018/09","3.21"
"2018/10","3.22"
"2018/11","3.23"
"2018/12","3.25"
"2019/01","3.26"
"2019/02","3.27"
"2019/03","3.28"
"2019/04","3.27"
"2019/05","3.27"
"2019/06","3.25"
"2019/07","3.22"
"2019/08","3.18"
"2019/09","3.14"
"2019/10","3.10"
"2019/11","3.06"
"2019/12","3.03"
"2020/01","3.01"
"2020/02","3.00"
"2020/03","2.97"
"2020/04","2.94"
"2020/05","2.91"
"2020/06","2.88"
"2020/07","2.84"
"2020/08","2.79"
"2020/09","2.75"
"2020/10","2.72"
"2020/11","2.69"
"2020/12","2.67"
"2021/01","2.66"
"2021/02","2.66"
"2021/03","2.65"
"2021/04","2.65"
"2021/05","2.64"
"2021/06","2.64"
"2021/07","2.64"
"2021/08","2.65"
"2021/09","2.66"
"2021/10","2.69"
"2021/11","2.73"
"2021/12","2.77"
"2022/01","2.82"
"2022/02","2.88"
"2022/03","2.93"
"2022/04","2.98"
"2022/05","3.03"
"2022/06","3.10"
"2022/07","3.17"
"2022/08","3.27"
"2022/09","3.38"
"2022/10","3.52"
"2022/11","3.66"
"2022/12","3.83"
"2023/01","3.96"
"2023/02","4.05"
"2023/03","4.12"
"2023/04","4.16"
"2023/05","4.19"
"2023/06","4.21"
"2023/07","4.21"
"2023/08","4.22"
"2023/09","4.24"
