변환,원자료
"2013/01","62.2697"
"2013/02","61.6258"
"2013/03","76.0634"
"2013/04","80.5564"
"2013/05","81.3058"
"2013/06","94.5794"
"2013/07","78.2858"
"2013/08","76.3571"
"2013/09","81.0161"
"2013/10","85.5286"
"2013/11","90.006"
"2013/12","105.5771"
"2014/01","69.5348"
"2014/02","65.6142"
"2014/03","78.0081"
"2014/04","83.0545"
"2014/05","80.3967"
"2014/06","93.2507"
"2014/07","77.6544"
"2014/08","75.8052"
"2014/09","77.7513"
"2014/10","80.6642"
"2014/11","81.6582"
"2014/12","102.4852"
"2015/01","69.4049"
"2015/02","67.7543"
"2015/03","78.7655"
"2015/04","78.1957"
"2015/05","78.993"
"2015/06","96.9487"
"2015/07","80.1522"
"2015/08","80.5394"
"2015/09","90.6777"
"2015/10","86.0841"
"2015/11","87.9084"
"2015/12","118.4474"
"2016/01","74.4355"
"2016/02","73.6827"
"2016/03","94.9845"
"2016/04","88.7922"
"2016/05","92.1681"
"2016/06","113.9818"
"2016/07","93.5246"
"2016/08","96.4623"
"2016/09","99.1526"
"2016/10","101.7643"
"2016/11","111.1068"
"2016/12","134.4433"
"2017/01","85.2952"
"2017/02","91.038"
"2017/03","114.4926"
"2017/04","106.3692"
"2017/05","107.4978"
"2017/06","124.5689"
"2017/07","106.254"
"2017/08","105.0947"
"2017/09","117.3329"
"2017/10","101.4309"
"2017/11","112.9278"
"2017/12","136.2399"
"2018/01","98.8938"
"2018/02","90.3058"
"2018/03","108.4598"
"2018/04","106.7211"
"2018/05","105.1796"
"2018/06","118.272"
"2018/07","101.7549"
"2018/08","101.0889"
"2018/09","97.559"
"2018/10","99.7026"
"2018/11","102.2322"
"2018/12","123.9789"
"2019/01","92.7433"
"2019/02","82.4935"
"2019/03","104.8034"
"2019/04","101.5804"
"2019/05","103.6614"
"2019/06","117.0602"
"2019/07","97.8823"
"2019/08","97.4984"
"2019/09","94.9339"
"2019/10","100.1265"
"2019/11","101.5383"
"2019/12","130.9531"
"2020/01","87.4408"
"2020/02","87.4244"
"2020/03","108.6054"
"2020/04","99.0258"
"2020/05","97.9702"
"2020/06","113.796"
"2020/07","96.1943"
"2020/08","87.9021"
"2020/09","99.7437"
"2020/10","91.4724"
"2020/11","103.1491"
"2020/12","127.2758"
"2021/01","79.3444"
"2021/02","78.6394"
"2021/03","100.4771"
"2021/04","93.6529"
"2021/05","89.48"
"2021/06","105.2364"
"2021/07","86.5343"
"2021/08","85.9786"
"2021/09","88.4376"
"2021/10","89.53"
"2021/11","94.9654"
"2021/12","127.2681"
"2022/01","83.3435"
"2022/02","75.2849"
"2022/03","95.3447"
"2022/04","91.3307"
"2022/05","96.215"
"2022/06","106.4475"
"2022/07","87.6071"
"2022/08","90.5869"
"2022/09","91.867"
"2022/10","97.9322"
"2022/11","106.1653"
"2022/12","127.7518"
"2023/01","86.3587"
"2023/02","89.9543"
"2023/03","106.8551"
"2023/04","102.6526"
"2023/05","101.7229"
"2023/06","115.8033"
"2023/07","96.5414"
"2023/08","100.3359"
"2023/09","105.2245"
