º¯È¯,ÃÑÁö¼ö
13-Jan,70.462
13-Feb,70.421
13-Mar,70.389
13-Apr,70.391
13-May,70.381
13-Jun,70.353
13-Jul,70.351
13-Aug,70.323
13-Sep,70.36
13-Oct,70.503
13-Nov,70.626
13-Dec,70.762
14-Jan,70.842
14-Feb,70.957
14-Mar,71.157
14-Apr,71.304
14-May,71.351
14-Jun,71.401
14-Jul,71.466
14-Aug,71.562
14-Sep,71.758
14-Oct,71.97
14-Nov,72.116
14-Dec,72.249
15-Jan,72.345
15-Feb,72.509
15-Mar,72.809
15-Apr,73.169
15-May,73.441
15-Jun,73.778
15-Jul,74.092
15-Aug,74.381
15-Sep,74.731
15-Oct,74.984
15-Nov,75.304
15-Dec,75.441
16-Jan,75.504
16-Feb,75.558
16-Mar,75.584
16-Apr,75.615
16-May,75.665
16-Jun,75.734
16-Jul,75.832
16-Aug,75.927
16-Sep,76.031
16-Oct,76.215
16-Nov,76.407
16-Dec,76.463
17-Jan,76.481
17-Feb,76.489
17-Mar,76.509
17-Apr,76.538
17-May,76.578
17-Jun,76.711
17-Jul,76.891
17-Aug,77.074
17-Sep,77.139
17-Oct,77.226
17-Nov,77.332
17-Dec,77.411
18-Jan,77.556
18-Feb,77.723
18-Mar,77.917
18-Apr,78.049
18-May,78.127
18-Jun,78.203
18-Jul,78.293
18-Aug,78.46
18-Sep,79.232
18-Oct,79.677
18-Nov,79.799
18-Dec,79.861
19-Jan,79.877
19-Feb,79.824
19-Mar,79.74
19-Apr,79.63
19-May,79.577
19-Jun,79.508
19-Jul,79.502
19-Aug,79.546
19-Sep,79.589
19-Oct,79.664
19-Nov,79.776
19-Dec,80.054
20-Jan,80.337
20-Feb,80.634
20-Mar,81.084
20-Apr,81.27
20-May,81.382
20-Jun,81.776
20-Jul,82.495
20-Aug,83.137
20-Sep,83.798
20-Oct,84.359
20-Nov,85.568
20-Dec,86.735
21-Jan,87.767
21-Feb,88.962
21-Mar,90.135
21-Apr,91.091
21-May,91.964
21-Jun,93.169
21-Jul,94.256
21-Aug,95.666
21-Sep,97.123
21-Oct,98.14
21-Nov,99.224
21-Dec,99.72
22-Jan,100
22-Feb,100.207
22-Mar,100.306
22-Apr,100.517
22-May,100.768
22-Jun,100.869
22-Jul,100.869
22-Aug,100.728
22-Sep,100.568
22-Oct,100.014
22-Nov,98.909
22-Dec,97.894
23-Jan,96.612
23-Feb,95.848
23-Mar,95.054
23-Apr,94.316
23-May,93.766
23-Jun,93.536
23-Jul,93.36
23-Aug,93.308
23-Sep,93.365
,
