변환,원자료
Jan-13,2.75
Feb-13,2.75
Mar-13,2.75
Apr-13,2.75
May-13,2.5
Jun-13,2.5
Jul-13,2.5
Aug-13,2.5
Sep-13,2.5
Oct-13,2.5
Nov-13,2.5
Dec-13,2.5
Jan-14,2.5
Feb-14,2.5
Mar-14,2.5
Apr-14,2.5
May-14,2.5
Jun-14,2.5
Jul-14,2.5
Aug-14,2.25
Sep-14,2.25
Oct-14,2
Nov-14,2
Dec-14,2
Jan-15,2
Feb-15,2
Mar-15,1.75
Apr-15,1.75
May-15,1.75
Jun-15,1.5
Jul-15,1.5
Aug-15,1.5
Sep-15,1.5
Oct-15,1.5
Nov-15,1.5
Dec-15,1.5
Jan-16,1.5
Feb-16,1.5
Mar-16,1.5
Apr-16,1.5
May-16,1.5
Jun-16,1.25
Jul-16,1.25
Aug-16,1.25
Sep-16,1.25
Oct-16,1.25
Nov-16,1.25
Dec-16,1.25
Jan-17,1.25
Feb-17,1.25
Mar-17,1.25
Apr-17,1.25
May-17,1.25
Jun-17,1.25
Jul-17,1.25
Aug-17,1.25
Sep-17,1.25
Oct-17,1.25
Nov-17,1.5
Dec-17,1.5
Jan-18,1.5
Feb-18,1.5
Mar-18,1.5
Apr-18,1.5
May-18,1.5
Jun-18,1.5
Jul-18,1.5
Aug-18,1.5
Sep-18,1.5
Oct-18,1.5
Nov-18,1.75
Dec-18,1.75
Jan-19,1.75
Feb-19,1.75
Mar-19,1.75
Apr-19,1.75
May-19,1.75
Jun-19,1.75
Jul-19,1.5
Aug-19,1.5
Sep-19,1.5
Oct-19,1.25
Nov-19,1.25
Dec-19,1.25
Jan-20,1.25
Feb-20,1.25
Mar-20,0.75
Apr-20,0.75
May-20,0.5
Jun-20,0.5
Jul-20,0.5
Aug-20,0.5
Sep-20,0.5
Oct-20,0.5
Nov-20,0.5
Dec-20,0.5
Jan-21,0.5
Feb-21,0.5
Mar-21,0.5
Apr-21,0.5
May-21,0.5
Jun-21,0.5
Jul-21,0.5
Aug-21,0.75
Sep-21,0.75
Oct-21,0.75
Nov-21,1
Dec-21,1
Jan-22,1.25
Feb-22,1.25
Mar-22,1.25
Apr-22,1.5
May-22,1.75
Jun-22,1.75
Jul-22,2.25
Aug-22,2.5
Sep-22,2.5
Oct-22,3
Nov-22,3.25
Dec-22,3.25
Jan-23,3.5
Feb-23,3.5
Mar-23,3.5
Apr-23,3.5
May-23,3.5
Jun-23,3.5
Jul-23,3.5
Aug-23,3.5
Sep-23,3.5
,
